"Estado","Semana_Epidemiologica","Anio","Incidencia","n","fecha"
"GUERRERO",32,2018,899,899,"2018-08-05"
"PUEBLA",32,2018,24,24,"2018-08-05"
"SAN LUIS POTOSÍ",32,2018,23,23,"2018-08-05"
"HIDALGO",32,2018,5,5,"2018-08-05"
"TAMAULIPAS",32,2018,28,28,"2018-08-05"
"NAYARIT",32,2018,22,22,"2018-08-05"
"NUEVO LEÓN",32,2018,131,131,"2018-08-05"
"COLIMA",32,2018,13,13,"2018-08-05"
"CAMPECHE",32,2018,8,8,"2018-08-05"
"SINALOA",32,2018,17,17,"2018-08-05"
"GUANAJUATO",32,2018,604,604,"2018-08-05"
"YUCATÁN",32,2018,14,14,"2018-08-05"
"MÉXICO",32,2018,23,23,"2018-08-05"
"BAJA CALIFORNIA SUR",32,2018,25,25,"2018-08-05"
"COAHUILA",32,2018,5,5,"2018-08-05"
"SONORA",32,2018,13,13,"2018-08-05"
"AGUASCALIENTES",32,2018,1,1,"2018-08-05"
"BAJA CALIFORNIA",32,2018,1,1,"2018-08-05"
"CHIHUAHUA",32,2018,1,1,"2018-08-05"
"CIUDAD DE MÉXICO",32,2018,9,9,"2018-08-05"
"DURANGO",32,2018,2,2,"2018-08-05"
"QUERÉTARO",32,2018,0,0,"2018-08-05"
"TLAXCALA",32,2018,-2,-2,"2018-08-05"
"ZACATECAS",32,2018,1,1,"2018-08-05"
"VERACRUZ",33,2018,337,337,"2018-08-12"
"CHIAPAS",33,2018,237,237,"2018-08-12"
"JALISCO",33,2018,328,328,"2018-08-12"
"QUINTANA ROO",33,2018,16,16,"2018-08-12"
"OAXACA",33,2018,120,120,"2018-08-12"
"TABASCO",33,2018,15,15,"2018-08-12"
"PUEBLA",33,2018,19,19,"2018-08-12"
"MICHOACÁN",33,2018,43,43,"2018-08-12"
"SAN LUIS POTOSÍ",33,2018,36,36,"2018-08-12"
"MORELOS",33,2018,32,32,"2018-08-12"
"GUERRERO",33,2018,69,69,"2018-08-12"
"HIDALGO",33,2018,17,17,"2018-08-12"
"TAMAULIPAS",33,2018,33,33,"2018-08-12"
"NUEVO LEÓN",33,2018,158,158,"2018-08-12"
"NAYARIT",33,2018,20,20,"2018-08-12"
"COLIMA",33,2018,36,36,"2018-08-12"
"YUCATÁN",33,2018,17,17,"2018-08-12"
"CAMPECHE",33,2018,6,6,"2018-08-12"
"SINALOA",33,2018,35,35,"2018-08-12"
"GUANAJUATO",33,2018,33,33,"2018-08-12"
"MÉXICO",33,2018,25,25,"2018-08-12"
"BAJA CALIFORNIA SUR",33,2018,15,15,"2018-08-12"
"SONORA",33,2018,8,8,"2018-08-12"
"COAHUILA",33,2018,3,3,"2018-08-12"
"AGUASCALIENTES",33,2018,1,1,"2018-08-12"
"BAJA CALIFORNIA",33,2018,1,1,"2018-08-12"
"CHIHUAHUA",33,2018,1,1,"2018-08-12"
"CIUDAD DE MÉXICO",33,2018,9,9,"2018-08-12"
"DURANGO",33,2018,0,0,"2018-08-12"
"QUERÉTARO",33,2018,0,0,"2018-08-12"
"TLAXCALA",33,2018,1,1,"2018-08-12"
"ZACATECAS",33,2018,2,2,"2018-08-12"
"VERACRUZ",34,2018,344,344,"2018-08-19"
"CHIAPAS",34,2018,282,282,"2018-08-19"
"JALISCO",34,2018,385,385,"2018-08-19"
"QUINTANA ROO",34,2018,37,37,"2018-08-19"
"OAXACA",34,2018,108,108,"2018-08-19"
"TABASCO",34,2018,15,15,"2018-08-19"
"PUEBLA",34,2018,24,24,"2018-08-19"
"MICHOACÁN",34,2018,70,70,"2018-08-19"
"SAN LUIS POTOSÍ",34,2018,52,52,"2018-08-19"
"MORELOS",34,2018,32,32,"2018-08-19"
"GUERRERO",34,2018,36,36,"2018-08-19"
"HIDALGO",34,2018,32,32,"2018-08-19"
"TAMAULIPAS",34,2018,37,37,"2018-08-19"
"NUEVO LEÓN",34,2018,202,202,"2018-08-19"
"NAYARIT",34,2018,36,36,"2018-08-19"
"COLIMA",34,2018,37,37,"2018-08-19"
"YUCATÁN",34,2018,21,21,"2018-08-19"
"CAMPECHE",34,2018,4,4,"2018-08-19"
"SINALOA",34,2018,43,43,"2018-08-19"
"GUANAJUATO",34,2018,27,27,"2018-08-19"
"MÉXICO",34,2018,50,50,"2018-08-19"
"BAJA CALIFORNIA SUR",34,2018,45,45,"2018-08-19"
"SONORA",34,2018,10,10,"2018-08-19"
"COAHUILA",34,2018,4,4,"2018-08-19"
"AGUASCALIENTES",34,2018,0,0,"2018-08-19"
"BAJA CALIFORNIA",34,2018,1,1,"2018-08-19"
"CHIHUAHUA",34,2018,1,1,"2018-08-19"
"CIUDAD DE MÉXICO",34,2018,4,4,"2018-08-19"
"DURANGO",34,2018,3,3,"2018-08-19"
"QUERÉTARO",34,2018,0,0,"2018-08-19"
"TLAXCALA",34,2018,0,0,"2018-08-19"
"ZACATECAS",34,2018,0,0,"2018-08-19"
"VERACRUZ",35,2018,329,329,"2018-08-26"
"CHIAPAS",35,2018,330,330,"2018-08-26"
"JALISCO",35,2018,2853,2853,"2018-08-26"
"OAXACA",35,2018,98,98,"2018-08-26"
"QUINTANA ROO",35,2018,23,23,"2018-08-26"
"SAN LUIS POTOSÍ",35,2018,63,63,"2018-08-26"
"GUERRERO",35,2018,37,37,"2018-08-26"
"PUEBLA",35,2018,18,18,"2018-08-26"
"MICHOACÁN",35,2018,60,60,"2018-08-26"
"MORELOS",35,2018,40,40,"2018-08-26"
"TABASCO",35,2018,18,18,"2018-08-26"
"HIDALGO",35,2018,29,29,"2018-08-26"
"TAMAULIPAS",35,2018,24,24,"2018-08-26"
"NUEVO LEÓN",35,2018,156,156,"2018-08-26"
"NAYARIT",35,2018,11,11,"2018-08-26"
"YUCATÁN",35,2018,17,17,"2018-08-26"
"COLIMA",35,2018,37,37,"2018-08-26"
"GUANAJUATO",35,2018,13,13,"2018-08-26"
"CAMPECHE",35,2018,5,5,"2018-08-26"
"SINALOA",35,2018,38,38,"2018-08-26"
"SONORA",35,2018,13,13,"2018-08-26"
"MÉXICO",35,2018,445,445,"2018-08-26"
"BAJA CALIFORNIA SUR",35,2018,32,32,"2018-08-26"
"COAHUILA",35,2018,6,6,"2018-08-26"
"CHIHUAHUA",35,2018,0,0,"2018-08-26"
"QUERÉTARO",35,2018,0,0,"2018-08-26"
"AGUASCALIENTES",35,2018,0,0,"2018-08-26"
